cell_code,truth
yXXQaYsWpp,Tubulin
7yj7IKcACK,Tubulin
TIDW4ESw9V,ROCK
P9dj4Qg1Dg,ROCK
U7sySe1OGS,ROCK
1ME3rLtyWU,ROCK
HcQkNy2fxN,ROCK
cNUswxZdxA,ROCK
mvI9NIQsAl,ROCK
tZu2Bt5Vfv,ROCK
Lpr0cX2BX4,ROCK
7pqle8TVg8,ROCK
IAyJwSMKu4,ROCK
Gp54STFM83,ROCK
YBsMrJnk4R,ROCK
Vh9t13j1UO,ROCK
wk3l7DFYD2,ROCK
W7syj77Z3F,ROCK
ScrjqPSGAO,ROCK
xnBBHAPDQv,ROCK
41drHPLPV6,ROCK
mBrezzHAIt,ROCK
jAQUPXbiLu,ROCK
2aBqMavJEm,ROCK
uozGMedLR8,ROCK
ascI1POhGd,ROCK
zCUf48RqtX,ROCK
vwpnhRHX9T,ROCK
pM3tXB67Jp,ROCK
ze5lthnFhi,ROCK
PyFxfAXNS3,ROCK
hTKnFtJjtd,ROCK
o0TlWS8bWI,ROCK
yz7IC8BuEL,ROCK
BK0QeN5TN7,ROCK
ywcBFGSUCD,ROCK
dZYGCRPUMv,ROCK
IgUu3neJke,ROCK
jtvSmy5FGQ,ROCK
sgMKoeZpkg,ROCK
GCRDk84EZU,DNA_intercalation
xBbGSH0yLz,DNA_intercalation
AOPyTNW4eW,DNA_intercalation
36nx9A2Z4A,DNA_intercalation
TYNdBduj2I,DNA_intercalation
yYWLKZZNa1,DNA_intercalation
EI8pHv9Mo4,DNA_intercalation
JUdehsz5fL,DNA_intercalation
EAp14YVcS4,DNA_intercalation
VMNJjwvkL4,DNA_intercalation
ObydLUXQ3a,DNA_intercalation
0C7ZPbgsHm,DNA_intercalation
N8NbFdhTRv,DNA_intercalation
fZVnyJEklW,DNA_intercalation
mmKxfRkTXx,DNA_intercalation
o8EdqB9IwR,DNA_intercalation
tcbwonXwdJ,DNA_intercalation
spjvChxwJZ,DNA_intercalation
Coi5pFGRfM,DNA_intercalation
RDPcTKztvN,DNA_intercalation
mODoVLiaOR,DNA_intercalation
iuxD2OEls4,DNA_intercalation
WLs9N7HsPb,DNA_intercalation
4yM7esgfTS,DNA_intercalation
xyygFsdDjI,DNA_intercalation
9ct2F5mybP,DNA_intercalation
vsjob18e8W,DNA_intercalation
kXHUv1CceM,DNA_intercalation
Z7jzjEGGUD,DNA_intercalation
OHngmg4Fhj,DNA_intercalation
x8B9MEQ2e5,DNA_intercalation
Gxji3XQ4HW,DNA_intercalation
tFhhirjxnt,DNA_intercalation
IlRufxeOwm,DNA_intercalation
1IkZzvoo1w,DNA_intercalation
s1aOdsutQu,DNA_intercalation
rGkX1u0d2S,DNA_intercalation
tJe51zuxbL,DNA_intercalation
J7JWNJBjuY,DNA_intercalation
Hethr3AANq,DNA_intercalation
LkwGkcMkeH,DNA_intercalation
npEzPwpC5z,DNA_intercalation
LILrBhrabk,DNA_intercalation
WLwgQYNePg,DNA_intercalation
o3y7yvKxRz,DNA_intercalation
fVO74IYomD,DNA_intercalation
fXsuZAyd2d,DNA_intercalation
ur71yZ7rZ2,TopoII
P88oAjpYCk,TopoII
tI0kYP8thi,TopoII
GOcezMHYVY,TopoII
fQh376JXUM,TopoII
U37uIwmEuh,TopoII
dXTdFmfnLG,TopoII
Jb2oRkNuCQ,TopoII
VfpTrZuwBL,TopoII
GlGkr7sIfH,TopoII
C7kJzSgQtj,TopoII
w7uACvLdVu,TopoII
5LtA2G0J4S,TopoII
b1GmT0CGzE,TopoII
wLaE4NB98o,TopoII
1qkH8urIAl,TopoII
Z3CKHHBjGU,TopoII
KVmDbL8nBI,TopoII
6FY5U5gWVN,TopoII
dhLge3tArp,TopoII
4tUtQ3HnGr,TopoII
STtk0CweIf,TopoII
KuQJTlfiFW,TopoII
myOn26gwee,TopoII
Cur7iJDilC,TopoII
mZPJCrSqAR,TopoII
a8BM3Zp0B1,TopoII
v4tsKmbKqa,TopoII
jZGJHn8oqe,TopoII
3ueZLH01o4,TopoII
HXKWonoM6m,TopoII
ojAk2dO5Vt,TopoII
onibjR67I0,TopoII
Tu1w7XVfSL,TopoII
BIJUgtp3oY,TopoII
JunX71mThz,cMyc
6ifXyjGVaH,cMyc
9jyMvBRe4l,cMyc
ZryVn8HVBh,cMyc
3yA9S8PRCu,cMyc
LA5O7ZzwFc,cMyc
V0SkmLxoHy,cMyc
HBQfTWnbn7,cMyc
2lMx9yfGsD,cMyc
Elxos1vw70,cMyc
MBCsXOrzSp,cMyc
qbOnGZMbhR,cMyc
HoGLFeHAeX,cMyc
ziZwKor9hn,cMyc
svpdTpvAKI,cMyc
7YWwFzBojf,cMyc
tYdRvJOz2F,cMyc
yMt8SApWKU,cMyc
aYfcXzOjeZ,cMyc
VVmUViLQMi,cMyc
kD2Zyt6S1x,cMyc
9k6QIxC6Tc,cMyc
5CVQNWeIso,cMyc
YF49Qqpi0g,cMyc
bitfXs8p7F,cMyc
x9O5zzTPdQ,cMyc
ssjqOoQh3c,cMyc
s4bgoKuoYN,cMyc
Ia6HHcBGS9,cMyc
kmvPf75tEc,cMyc
HSVjebUDKM,cMyc
AdjSmaEVW1,cMyc
jrhdffsZBQ,cMyc
siiO0x5zrT,cMyc
DNQHaohZhI,cMyc
vOZBAvPYoa,cMyc
gY8hQUxP73,cMyc
fU0bpuNsbQ,cMyc
leqPqoK2z4,cMyc
V8w6vqCcho,MEK
1yET6Pk7Gy,MEK
mxxOujmtIB,MEK
5ePE04HJ4P,MEK
EPdFxkgGkB,MEK
oSYGQ9an2k,MEK
uSM6iSMjHq,MEK
EW4QcenYRB,MEK
2SqOgwav3A,MEK
S93pzYoznR,MEK
GjQUXB15RK,MEK
5F3wjdM9fD,MEK
P2FXHZ8zmd,MEK
r2MX2TSRJj,MEK
TMecdnpvUu,MEK
LXHaMr95Ec,MEK
gMdqk8ms9I,MEK
N0aUU6LHeS,MEK
wRxn41gpha,MEK
eAzREDDn2D,MEK
3HBwDOiqfi,MEK
9QNSlgn32f,MEK
bkobrXWYUw,MEK
qsjNVwD49K,MEK
NWPvoOqe35,MEK
UcTUSvhYwq,MEK
JYAc09gAZv,MEK
MAhnOP3iNg,MEK
6AN9R6jecg,MEK
PZ5Pn388Vr,MEK
ZY3awempxj,MEK
onS0mxPAAs,MEK
Qbcy2cJYNC,MEK
rrTR5SmPns,MEK
INhexjfqLM,MEK
pinhbepA2R,MEK
8O95MA16E5,MEK
7MUGDSTQdJ,ROCK
HysJ70Bahk,ROCK
o7snTbqzgq,ROCK
VozjehFXKC,ROCK
mu7SunnLwk,ROCK
0YBVMitPyH,ROCK
yXdAF0WAp2,ROCK
FgU00kTxAh,ROCK
55XJNIrDuD,ROCK
lukbj9VEcn,ROCK
wTA5pcEBDi,ROCK
NGrgvUHo54,ROCK
1yLWiEeE2d,ROCK
2czG6VDICF,ROCK
0ePWwyWRVg,ROCK
lCThpLv6aN,ROCK
UoUlpxuWTu,ROCK
MicNvan92b,ROCK
OEwLjckNOO,ROCK
yQx51VBGke,ROCK
Nu2T2aO1x9,ROCK
x71AXuGdb1,ROCK
EJBqV6ijzi,ROCK
vE5K0JBC3g,ROCK
NFIzwHMRNJ,ROCK
0Lv5vJfE2W,ROCK
aIJUEktLc4,ROCK
jg810kb3QG,ROCK
lSauzPIBcA,ROCK
YT7yDPuYXD,ROCK
c98HjSedda,ROCK
GbDiQvucO9,ROCK
c1vTczzROT,ROCK
BRXqJWJMuH,ROCK
4t6t4L3Cjo,ROCK
Ww3om1nUmd,ROCK
sdbTGmZS8q,ROCK
jHfphIinij,ROCK
pEYFV7I0Pi,ROCK
mKD6j20OG9,dopaminereceptor
Xm70u9mkM7,dopaminereceptor
0hbqRmDwTg,dopaminereceptor
xrCwTL8Pox,dopaminereceptor
odty1yo12v,dopaminereceptor
TEvlL3cWcr,dopaminereceptor
kT86QJco6m,dopaminereceptor
yXE405g6Pr,dopaminereceptor
1onLLVAigk,dopaminereceptor
cQeCsD7CM8,dopaminereceptor
01gkdzknqz,dopaminereceptor
Lf92vRyXEc,dopaminereceptor
dtH8JrvgJu,dopaminereceptor
yy63kxKQGi,dopaminereceptor
mUtpYaTYns,dopaminereceptor
IFYxBjDIkS,dopaminereceptor
QjIFeAAHVR,dopaminereceptor
8fTMXBRrtB,dopaminereceptor
Bqgc45WgBa,dopaminereceptor
TPfsU5X3e5,dopaminereceptor
FMKGNMOpzI,dopaminereceptor
2moeMTIYLy,dopaminereceptor
kWL1BjjDF7,dopaminereceptor
0DbO8TkLjH,dopaminereceptor
WjFRRgHZi6,dopaminereceptor
ef57WLkXU8,dopaminereceptor
OEq6bPcc31,dopaminereceptor
eDYEnFr4ud,Tubulin
8Q2SRTgBb6,Tubulin
MhgiYgFvek,Tubulin
lo1FK8OgAZ,Tubulin
MNUD7G4HYw,Tubulin
x1Fd4yU7tM,Tubulin
AsO5qyEBR8,Tubulin
HpZW2VW0qt,Tubulin
g4096xpUqK,Tubulin
yXXqX5m97o,Tubulin
VkPBoVTWbX,Tubulin
PKf3Q0u70G,Tubulin
Drt6ImjsRp,Tubulin
hH4cTkCJFo,Tubulin
dETtOyJJYp,Tubulin
FgW6ErKcxD,Tubulin
pwjXfCaclD,Tubulin
hGReRIDBVX,Tubulin
cLRbH9P2cX,Tubulin
UEnUFmxp8W,Tubulin
eo7hOS74W5,Tubulin
MZsS2MYPIQ,Tubulin
GidHCfNkgM,Tubulin
zxTpSldIw1,Tubulin
F6OBVrD6Ik,Tubulin
9pNKID1sXE,Tubulin
RyGxhsw99h,Tubulin
N6ULr0AL33,Tubulin
zOjSP6vTV1,Tubulin
lSk6aMKtWa,Tubulin
DVPK6icSz8,Tubulin
JC7RUGdYIH,Tubulin
SN9exHXli7,Tubulin
8dBb8aFznp,Tubulin
vaAnsUsoMx,Tubulin
dphI7TbUfe,Tubulin
nRQaC6umpe,Tubulin
vQnUzBDWoQ,Tubulin
XOydjd87Cr,Tubulin
HXguoQ2ggy,Tubulin
Za04ulRHSe,Tubulin
AphZUTCBGU,Tubulin
d2N5LbpQ8r,Tubulin
2tvNAA3JsH,Tubulin
vzEYQ3oB5I,Tubulin
o0QNaYV2L9,Tubulin
P8iIwy34mz,Tubulin
GaXDEZiB3w,Tubulin
LJNeX3GqDU,Tubulin
FjICd3Btdy,Tubulin
TrTQ2fa5a5,Tubulin
f0gJ5g1tXl,Tubulin
8kkeZtMCD5,Tubulin
4d5k8k78DP,Tubulin
Xw1oqA6Gyq,Tubulin
6N8Tp0hlab,Tubulin
AeJwfpYpXf,Tubulin
l19rQH8Uvl,CDK
hBgpjZAfIC,CDK
CaYwCbnSbu,CDK
5DQrDI0JeM,CDK
ymR5jZefxp,CDK
X3cwksECWP,CDK
3auUzHG0vG,CDK
4iEmSjCpOO,CDK
yk2UHvYz8d,CDK
7YQMiqIFfE,CDK
7RBgLKVhkf,CDK
qElGLGNQ02,CDK
iYelQapwlo,CDK
ed9WZSOAvV,CDK
YBxR5gSQmO,CDK
9nROBxEUXP,CDK
SF2FtKG9ur,CDK
RiR9LnmzD5,CDK
eIjOQQIZN7,CDK
BwJ1hEdv1W,CDK
O4Eu2QG9Iz,CDK
05KUTFUwuo,CDK
uhdXjXNPXl,CDK
9cd3TNrSHW,CDK
T9b9XYLM0r,CDK
vQYDTNf5K9,CDK
5hzrGI2NWy,CDK
QXU3dwnVtv,CDK
zUVlKbaFRN,CDK
aR9dkJxpja,CDK
MjFsduF3Ok,CDK
bln5kDhHe3,CDK
OHHQcTbaLY,CDK
cmTc9rvopk,CDK
wY14XCkGlh,CDK
8shnT9DWad,CDK
OtLsGrMQVk,CDK
scs71l3Flb,CDK
5BJEpln7ZS,CDK
k5vyFUoTKN,CDK
o3lzQxwFf7,AMPA
FLbOvZVOSU,AMPA
eeEK5IobdK,AMPA
NrGlR6rxLE,AMPA
hXGn5CDZGb,AMPA
uUcIdsx3fy,AMPA
7wUkadvRIR,AMPA
lllvYo4d8X,AMPA
4IKWi4cgv8,AMPA
WdJzKPDHCD,AMPA
VSpz13dYsn,AMPA
41qZD1FDFc,AMPA
GItum6LOHO,AMPA
jHANcXjiAc,AMPA
bfF6Rh3ff0,AMPA
iIlNavG0bl,AMPA
U62MNZidsQ,AMPA
hV4x0pYLde,AMPA
xfMX0HvESm,AMPA
QhpzKtE0av,AMPA
eiywXUPEwz,AMPA
rqQn2tW7L5,AMPA
mtCXtiMh2z,AMPA
NgbtsrpY7b,AMPA
HZF2erX1DO,AMPA
yTTQgLop5m,AMPA
KW7iX2ZGzb,AMPA
D0bLrHplkr,AMPA
NrkknHXIml,AMPA
NtCysn8VXW,AMPA
CeLmPNkVjH,AMPA
AXh0PIikfq,AMPA
xLvYLUK7mV,AMPA
nXd5CygJZ6,AMPA
0qn8e5aIgC,AMPA
V691ZbEXvN,AMPA
T25FW74wgM,AMPA
kC5sXPCHkd,AMPA
D6DkYSGNXr,AMPA
Go6AltySAW,AMPA
NpegF9Ogwf,AMPA
Z1KcpDteHb,AMPA
91AMwqsJjH,AMPA
4Ey27ISQ3s,AMPA
0X935lUK6Q,AMPA
Zp06Tgu46E,AMPA
OGIz2ZDfLt,AMPA
Of5Tc0vLoC,AMPA
OaDIyxb33d,AMPA
50fsNVpUB0,AMPA
WtxeipbOuf,AMPA
7ZHiCxtLUe,AMPA
MGbPWUSo1c,AMPA
L1Yw5AWGjX,AMPA
cJEqHS23fV,AMPA
sXPs5ZwqD0,AMPA
Hk1hk9Jevn,AMPA
O9GLIiscOq,AMPA
M4ivgesJ6A,AMPA
QI4As3Qt7S,AMPA
DlDGB18d27,AMPA
wPSnIJrtr4,AMPA
JdYtuBZ3hE,AMPA
1Ksdlryubn,AMPA
SXL1cKgyg3,AMPA
0zgJCYX3FE,AMPA
2jXdGQvyfJ,AMPA
Nr7AxKo19P,AMPA
mMNBf2j7NG,AMPA
YkWgSH6yR8,AMPA
0T4YQ2jyrs,AMPA
5F4N4s1S8k,AMPA
7zLd9AykYs,AMPA
z4bDX0Jgtg,AMPA
SDuVp1q032,AMPA
JtflG40ERd,AMPA
pmTWAKcCcN,AMPA
NJC2p8lKAN,AMPA
GP1yRcQpWe,AMPA
jRUJkSJvMO,AMPA
IOXZXzxgXz,AMPA
EvKMEkabx0,AMPA
a1DC3llXWU,AMPA
IPaWHaMLky,AMPA
FdKyuRyVPo,AMPA
isumWWlkZe,AMPA
d0tfCoyN2G,AMPA
tqv9pdaaS9,AMPA
zKhHnyqTEj,AMPA
bKamCkCPcO,AMPA
GtWriThHc9,AMPA
Ddl68ssQZ8,AMPA
f8AwKQaRyE,AMPA
lNaT8jg6Hw,AMPA
gV14zY755v,AMPA
ZmwMz12oV4,AMPA
TT5rARdBZb,AMPA
FQKFEuE05v,AMPA
6VyvTRRojC,AMPA
Y5W6QVjPzs,AMPA
o85BU6zjUr,AMPA
dn4vE8JlYn,AMPA
pqTiz1WVAU,AMPA
04oiPCs91b,AMPA
op4eGTCfb1,AMPA
nJy6YgCA90,AMPA
CWqA19MrLb,AMPA
PuKPgW4js8,AMPA
o4YV3WDCre,AMPA
9zkpuwvYLA,AMPA
t1NObwsVTD,AMPA
BXBlIECZOx,AMPA
eRIvJCTItc,AMPA
ZFqEO9kh9q,AMPA
1N7GLYqwqd,AMPA
T9V9upbIK4,AMPA
kqdu4Wd0Zu,AMPA
pMjwiX2YMm,AMPA
FWTh0kVHoL,AMPA
16bzLOI7CE,AMPA
xzrsJPOWsM,AMPA
N8JnU9EEyn,AMPA
vtgAoFRbsR,AMPA
qr9fJ7eoKx,AMPA
x2e3Ri9sOP,AMPA
PvRstcJvxD,AMPA
JidScDLibL,AMPA
4fS9OMAZA5,AMPA
pfWZKa8w7o,AMPA
RpW0NsopBa,AMPA
OpTnWsPCe5,AMPA
MiptR6svaR,AMPA
wphSFt2Ly8,AMPA
wqMISsyQp1,AMPA
EsIQVymdov,AMPA
yJdET0rozj,AMPA
vlVBSiv04a,AMPA
ohFlDxD3LM,AMPA
ytmapN9QQW,AMPA
HOZF6078kz,AMPA
AhGjhwesYB,AMPA
Q4xkwsGxAH,AMPA
kxMPsJZoVD,AMPA
J5Lo0ebpBt,AMPA
7Xa2HdUdOZ,AMPA
jkXzgl5Lzo,AMPA
aSw6OahgTT,AMPA
MqikVO1Eub,AMPA
QhNPMQRtYp,AMPA
tzv0GbPF7p,AMPA
MPJ14GDw9Q,adrenoceptor
2WVTTUDomO,adrenoceptor
x8nPCzU2e2,adrenoceptor
Fnq3zTBY5e,adrenoceptor
GyOYNffdxd,adrenoceptor
e2A1cspPVp,adrenoceptor
3arB8cWeBr,adrenoceptor
qK4Ug4KixB,adrenoceptor
citPBgbSAk,adrenoceptor
G8EmkqJqlX,adrenoceptor
QM5HUB19LA,adrenoceptor
EvzxQ2kUeh,adrenoceptor
UFESRVnGK9,adrenoceptor
X30RI99wCF,adrenoceptor
B0ZZic39xH,adrenoceptor
beahuB8r1o,adrenoceptor
z8NHE1Ml9H,adrenoceptor
it3c8mXZ8a,adrenoceptor
QgMxJqYmsB,adrenoceptor
tE4PjSpbcT,adrenoceptor
9EiuCYBgrn,adrenoceptor
whVPxueCT3,adrenoceptor
sRfQQSgBty,adrenoceptor
6Bm40sKLGy,adrenoceptor
29Z7CYZ4ii,adrenoceptor
uZLGnkIGme,adrenoceptor
tnsoWcigMw,adrenoceptor
iR0LBk6TY0,adrenoceptor
hDsCWGxIcj,adrenoceptor
QvsiuoqWtM,adrenoceptor
WNkjT0EpM8,adrenoceptor
LxERF12vkH,adrenoceptor
jlgNUF75aI,adrenoceptor
APKc0qNxOu,adrenoceptor
z7TGFgzOre,adrenoceptor
hQADZzDRTP,adrenoceptor
jKxwFG97nT,adrenoceptor
QqTSzLv3Ei,adrenoceptor
rCaXJ85jv5,adrenoceptor
CcXtic7Jt2,dopaminereceptor
YwDw6RupZv,dopaminereceptor
uifehFr2BO,dopaminereceptor
uQPd7H5gnW,dopaminereceptor
NpoXazsQmd,dopaminereceptor
JY5seRiTsu,dopaminereceptor
nK5kXAgrVX,dopaminereceptor
iPXKYWztBJ,dopaminereceptor
no6r97ihTw,dopaminereceptor
ec6hb1ekLt,dopaminereceptor
EXX9Qpn7mR,dopaminereceptor
xfe6h6HhID,dopaminereceptor
ESQl2qqy3Q,dopaminereceptor
iByahZqu9G,dopaminereceptor
22tSCpv2Ph,dopaminereceptor
sRzfmN1CgW,dopaminereceptor
kmqh8Vw67F,dopaminereceptor
mMy5mCfIt6,dopaminereceptor
wHgiCxbQ36,dopaminereceptor
wXC2YVgqAI,dopaminereceptor
UMfGSmQa4k,dopaminereceptor
p0FtFWBHzq,dopaminereceptor
ITBC6tM9YW,dopaminereceptor
LLQePEh7ln,dopaminereceptor
w1g4wPVTlD,dopaminereceptor
pnzfU3bOg0,dopaminereceptor
gk0ZEDqm35,dopaminereceptor
1p3pR0vCDM,dopaminereceptor
8mNrWJl4dK,dopaminereceptor
JkYlv2GjRO,dopaminereceptor
6iwox7oWxf,dopaminereceptor
x5KzPwYmH8,dopaminereceptor
RBJv9f5YRF,dopaminereceptor
5CiznlUt4n,dopaminereceptor
Xet7YaKEpb,CDK
R0uQtSAfI2,CDK
FSZtFaLvL0,CDK
EXdxaPQAdS,CDK
CBjTYtgVVW,CDK
4jPpLUUoBw,CDK
LI3iH0fHk5,CDK
n7FG6wYWJh,CDK
DGJaFXyK5h,CDK
R4ckWGVTve,CDK
H2wTbzLH9F,CDK
K1MluJlndh,CDK
NTD7i35y6f,CDK
6IbwaMAdyV,CDK
G49iz45wpo,CDK
jwZVvF79qi,CDK
3bDoYeQB3V,CDK
4QSnZ18fPt,CDK
JVe3RMzuzY,CDK
coUtp0XioH,CDK
K6lKBCfPax,CDK
hTOSx5xEoP,CDK
4pIH5MjdwP,CDK
lvAS4SnFnV,CDK
L7WXhQZ32q,CDK
hzfZadv5qB,CDK
UtKtMiHIRj,CDK
6R9Hvi4SYT,CDK
R8QAeQeJCM,CDK
UwUoAvTb01,CDK
dkNRypLw1a,CDK
m06l9NinY7,CDK
MvddHnr58b,CDK
ETvs2nTmyP,CDK
smvil9PRR1,CDK
pc0ziJeiGg,CDK
7KJkZsopBA,CDK
Nbt28G7EjH,CDK
nRQFGu9HId,CDK
mBbb23aDst,CDK
zcqpyAYFCF,CDK
6fgp0eNvN5,CDK
cuA01PD6jp,CDK
DLv9CKlQ6Q,CDK
Uti7CaXqcF,DNA_intercalation
jrHDLeLFht,DNA_intercalation
oeWoAyP1zw,DNA_intercalation
dTfsWBDqdQ,DNA_intercalation
43aplNrg16,DNA_intercalation
X2Ro3bEY27,DNA_intercalation
zGanvE1vTa,DNA_intercalation
MTvKO8LOnP,DNA_intercalation
TqCZV9U1ch,DNA_intercalation
vdc7Zq57Qj,DNA_intercalation
hYPaGPfGoZ,DNA_intercalation
P4UgYGwQEv,DNA_intercalation
6FqGapjdiH,DNA_intercalation
WCK36IYLjB,DNA_intercalation
HM23p5wKco,DNA_intercalation
sklfRmLigA,DNA_intercalation
tuOSh9i9RA,DNA_intercalation
8xBuc3JxgB,DNA_intercalation
C6XiHz3P6F,DNA_intercalation
XNxwO0EduU,DNA_intercalation
T2LjG6PwcH,DNA_intercalation
bicSIX7JTM,DNA_intercalation
Z7dbX4B4Li,DNA_intercalation
WzilZSHO2p,DNA_intercalation
wd0V52zL5Y,DNA_intercalation
MG84ORMq7e,DNA_intercalation
ue79Kt4fuu,DNA_intercalation
DmgOFQGD7f,DNA_intercalation
F4LeUzJucc,DNA_intercalation
spaWSqJK4C,DNA_intercalation
QCqlKhRrwv,DNA_intercalation
BxkIRWZOmp,DNA_intercalation
4UPlQaRYrk,DNA_intercalation
BNHcsQaDtW,DNA_intercalation
m1Bw7NwHCd,DNA_intercalation
EhU9TfVXQe,DNA_intercalation
9RmUhbfeHp,DNA_intercalation
tDD2fGodup,DNA_intercalation
FloJ3A9kPG,DNA_intercalation
TP570tY36t,DNA_intercalation
81kEzMCtqf,DNA_intercalation
muVrf0lqb7,DNA_intercalation
IhPPQLMf0s,DNA_intercalation
xBu3XckXKf,MEK
HVx4cit3na,MEK
H5m6aAzhQd,MEK
Z9WoFArdsg,MEK
mDk8LzDtPS,MEK
yeS2HJkBSe,MEK
tZtdZLpJJR,MEK
Pw9mFQsBo8,MEK
h4GQHvGera,MEK
RJrN37B9ZU,MEK
0kYPPcv3Bt,MEK
nYsy0zbNCg,MEK
vXiACcNXQq,MEK
c1qqVTzEKj,MEK
Ph5cIQiOQD,MEK
tcmzuroTSN,MEK
qYm1tmiBTL,MEK
mxa5SOvMz3,MEK
