PlateName	Well	Content	compoundID_384	compoundID	mol.weight.Structure	Name	SecName	Class	Enzyme	Action	Selectivity	Description	GeneID	Selectivity_updated
P1	A13	sample	78880	78880	175,61625	Gabaculine hydrochloride		GABA	Enzyme	Inhibitor	GABA transaminase	GABA transaminase inhibitor; conformationally constrained GABA analog	78880	GABA transaminase
P1	A14	sample	78960	78960	438,46549	5'-Amino-5'-deoxyadenosine p-toluenesulfonate salt		Adenosine		Analog		Adenosine analog.	78960	Adenosine-analog
P1	A15	sample	78881	78881	218,59507	O-(Carboxymethyl)hydroxylamine hemihydrochloride	Aminooxyacetic acid; (Carboxymethoxy)amine hemihydrochloride	Biochemistry	Enzyme	Inhibitor	Aminotransferase	Non-selective aminotransferase inhibitor	78881	Aminotransferase
P1	A16	sample	78961	78961	376,39372	1-Allyl-3,7-dimethyl-8-p-sulfophenylxanthine		Adenosine		Antagonist	A2	Weak A2 adenosine receptor antagonist; water soluble	78961	adenosine receptor
P1	A17	sample	78882	78882	225,18307	(+-)-2-Amino-7-phosphonoheptanoic acid	(+-)-AP-7	Glutamate		Antagonist	NMDA	NMDA glutamate receptor antagonist; anticonvulsant	78882	NMDA
P1	A18	sample	78962	78962	324,40165	Acetohexamide		Hormone		Releaser	Insulin	Stimulates insulin release	78962	Insulin
P1	A19	sample	78883	78883	313,83043	N-Acetylprocainamide hydrochloride	Acedainide; N-Acetylnovocainamide hydrochloride; NAPA	Na+ Channel		Blocker		Blocks Na+ channels and appears to have Class III anti-arrhythmic activity;metabolite of Procainamide	78883	Na+-channel
P1	A20	sample	78963	78963	145,11584	cis-Azetidine-2,4-dicarboxylic acid		Glutamate		Modulator	NMDA	NMDA glutamate receptor modulator	78963	NMDA
P1	A21	sample	78884	78884	385,5079	Actinonin	3-[[1-[(2-(Hydroxymethyl)-1-pyrrolidinyl)carbonyl]-2-methylpropyl]carbamoyl]octanohydroxamic acid	Biochemistry	Enzyme	Inhibitor	Leucine aminopeptidase	Leucine aminopeptidase inhibitor	78884	Leucine aminopeptidase
P1	A22	sample	78964	78964	101,10589	2,3-Butanedione monoxime	Diacetyl monoxime	K+ Channel		Blocker	ATP-sensitive	Blocks ATP-sensitive K+ channels	78964	K+ channel
P1	B03	sample	79035	79035	242,03283	3-Bromo-7-nitroindazole		Nitric Oxide	Enzyme	Inhibitor	NOS	Nitric oxide synthase (NOS) inhibitor	79035	NOS
P1	B04	sample	79115	79115	383,83491	Chelerythrine chloride	1,2-Dimethoxy-N-methyl(1,3)benzodioxolo(5,6-c)phenanthridinium chloride	Phosphorylation	Enzyme	Inhibitor	PKC	PKC inhibitor; affects translocation of PKC from cytosol to plasma membrane	79115	PKC
P1	B05	sample	79036	79036	364,42335	Bumetanide	3-(Aminosulfonyl)-5-(butylamino)-4-phenoxybenzoic acid	Ion Pump		Inhibitor	Na+-K+-2Cl- cotransporter	Potent inhibitor of the Na+-K+-2Cl- cotransporter; inhibits anthracene-9-carboxylic acid, a blocker of chloride channels	79036	Na+-K+-2Cl- cotransporter
P1	B06	sample	79116	79116	1202,64247	Cyclosporin A	Antibiotic S 7481F1	Phosphorylation	Enzyme	Inhibitor	Calcineurin phosphatase	Calcineurin phosphatase inhibitor; immunosuppressant	79116	Calcineurin phosphatase
P1	B07	sample	79037	79037	213,66564	(+-)-Baclofen	Lioresal	GABA		Agonist	GABA-B	GABA-B receptor agonist; antispastic agent; muscle relaxant	79037	GABA-B
P1	B08	sample	79117	79117	182,65165	Carbachol	Carbamylcholine chloride	Cholinergic		Agonist		Acetylcholine receptor agonist	79117	Acetylcholine receptor agonist
P1	B09	sample	79038	79038	280,36728	Brefeldin A from Penicillium brefeldianum	BFA; Ascotoxin, Cyanein	Cytoskeleton and ECM		Inhibitor	Golgi apparatus	Fungal metabolite that disrupts the structure and function of the Golgi apparatus	79038	Golgi apparatus
P1	B10	sample	79118	79118	347,39559	Cephalexin hydrate		Antibiotic			Cell wall synthesis	Semi-synthetic cephalosporin antibiotic; interferes with cell wall synthesis	79118	Cell wall synthesis
P1	B11	sample	79039	79039	417,55587	BP 897	N-[4-(4-(2-methoxyphenyl)piperazinyl)butyl]-2-naphthamide	Dopamine		Agonist	D3	Partially selective D3 dopamine receptor agonist	79039	dopamine receptor
P1	B12	sample	79119	79119	354,45867	Roscovitine	(R)-2-(1-Ethyl-2-hydroxyethylamino)-6-benzylamino-9-isopropylpurine	Phosphorylation	Enzyme	Inhibitor	CDK	Potent, selective inhibitor of cyclin-dependent kinases (CDKs)	79119	CDK
P1	B13	sample	79040	79040	276,20848	Bupropion hydrochloride	(+-)-1-(3-Chlorophenyl)-2-[(1,1-dimethylethyl)amino]-1-propanone hydrochloride	Dopamine		Blocker	Reuptake	Selective dopamine reuptake inhibitor; antidepressant	79040	dopamine
P1	B14	sample	79120	79120	323,86919	Cyproheptadine hydrochloride		Serotonin		Antagonist	5-HT2	5-HT2 serotonin receptor antagonist	79120	serotonin receptor
P1	B15	sample	79041	79041	233,70254	BU224 hydrochloride	2-(4,5-Dihydroimidazol-2-yl)-quinoline hydrochloride	Imidazoline		Antagonist	I2	I2 Imidazoline receptor antagonist	79041	imidazoline
P1	B16	sample	79121	79121	206,63317	3-Morpholinosydnonimine hydrochloride	3-(4-Morpholinyl)sydnone imine hydrochloride	Nitric Oxide		Donor		Liberates nitric oxide (NO) spontaneously when in solution, activating guanylyl cyclase and causing an increase in cyclic-GMP. This product is a vasodilator and inhibits platelet aggregation.	79121	NO
P1	B17	sample	79042	79042	289,16073	Ciprofibrate	2-[p-(2,2-Dichlorocyclopropyl)phenoxy]-2-methylpropanoic acid	Transcription		Ligand	PPAR-alpha	Peroxizome proliferator;specific ligand for the nuclear peroxisome proliferator-activated receptor alpha (PPARalpha)	79042	PPAR
P1	B18	sample	79122	79122	196,20474	Cantharidin	Cantharidine	Phosphorylation	Enzyme	Inhibitor	PP2A	Protein phosphatase 2A inhibitor	79122	PP2A
P1	B19	sample	79043	79043	292,46569	CGP-7930	3-(3',5'-Di-tert-butyl-4'-hydroxy)phenyl-2,2-dimethylpropanol	GABA		Modulator	GABA-B	Positive allosteric modulator of GABA-B receptors	79043	GABA-B
P1	B20	sample	79123	79123	355,33235	Chlorpromazine hydrochloride		Dopamine		Antagonist		Dopamine receptor antagonist; anti-emetic; antipsychotic	79123	dopamine receptor
P1	B21	sample	79044	79044	352,32883	Chlorprothixene hydrochloride	2-Chloro-9-(3-dimethylaminopropylidene)thioxanthene hydrochloride	Dopamine		Antagonist	D2	D2 dopamine receptor antagonist; blocks a subset of GABA-A receptors in rat cortex that is also blocked by clozapine	79044	dopamine receptor
P1	B22	sample	79124	79124	294,18019	Centrophenoxine hydrochloride	Meclofenoxate hydrochloride	Nootropic				Nootropic; cholinergic drug	79124	NA
P1	C01	ctrl DAPT	ctrl_DAPT										ctrl DAPT	WNT
P1	C02	ctrl Paclitaxel	ctrl_Paclitaxel	80075									ctrl Paclitaxel	Tubulin
P1	C03	sample	78885	78885	213,23812	N-Phenylanthranilic acid	Diphenylamine-2-carboxylic acid; DPC	Cl- Channel		Blocker		Cl- channel blocker	78885	Cl-channel
P1	C04	sample	78965	78965	161,15887	L-2-aminoadipic acid	Aad; (S)-2-Aminohexanedioic acid; L-Homoglutamic acid	Glutamate	Enzyme	Inhibitor	Glutamine synthetase	Glutamine synthetase inhibitor	78965	Glutamine synthetase
P1	C05	sample	78886	78886	434,43361	S-(4-Nitrobenzyl)-6-thioguanosine	2-Amino-6-[(4-Nitrobenzyl)thio]-9-beta-D-ribofuranosylpurine	Adenosine		Inhibitor		Potent adenosine transport inhibitor	78886	adenosine transport
P1	C06	sample	78966	78966	322,25708	ATPO	(R,S)-2-Amino-3-[5-tert-butyl-3-(phosphonomethoxy)-4-isoxazolyl]propionic acid	Glutamate		Antagonist	GluR1-4	Competitive GluR1-4 (AMPA-preferring) glutamate receptor antagonist	78966	glutamate receptor
P1	C07	sample	78887	78887	373,30238	Org 24598 lithium salt	R-(-)-N-Methyl-N-[3-[(4-trifluoromethyl)phenoxy]-3-phenyl-propyl]glycine lithium salt	Neurotransmission		Inhibitor	GlyT1	Selective, potent inhibitor of glial GlyT (GlyT1, glycine transporter type 1).	78887	GlyT1
P1	C08	sample	78967	78967	539,24273	2-(Methylthio)adenosine 5'-diphosphate trisodium salt hydrate	2-Methylthio-ADP trisodium salt hydrate	Purinoceptor		Agonist	P2	P2 purinoceptor agonist.	78967	P2 receptor
P1	C09	sample	78888	78888	420,43428	Aminophylline ethylenediamine	Theophylline ethylenediamine	Adenosine		Antagonist	A1/A2	A1/A2 adenosine receptor antagonist; diuretic; cardiac stimulant; smooth muscle relaxant	78888	adenosine receptor
P1	C10	sample	78968	78968	319,27059	L(-)-Norepinephrine bitartrate	(-)-Arterenol bitartrate; Noradrenaline bitartrate	Adrenoceptor		Agonist	alpha, beta1	Adrenergic neurotransmitter; vasoconstrictor	78968	adrenoceptor
P1	C11	sample	78889	78889	267,24621	3'-Azido-3'-deoxythymidine	Azidothymidine; AZT	Immune System	Enzyme	Inhibitor	Reverse transcriptase	Reverse transcriptase inhibitor; active against HIV-1 virus	78889	Reverse transcriptase
P1	C12	sample	78969	78969	365,83552	Paroxetine hydrochloride hemihydrate (MW = 374.83)	(3S-trans)-3-[(1,3-benzodioxol-5-yloxy)methyl]-4-(4-fluorophenyl)piperadine hydrochloride hemihydrate	Serotonin		Inhibitor	Reuptake	Selective serotonin reuptake inhibitor; antidepressantSold with permission of GlaxoSmithKline.Actual molecular weight = 374.83 to account for 1/2 mole of water.	78969	serotonin
P1	C13	sample	78890	78890	313,78957	YM 976	4-(3-Chlorophenyl)-1,7-diethylpyrido[2,3-d]pyrimidin-2(1H)-one	Cyclic nucleotides	Enzyme	Inhibitor	PDE 4	Phosphodiesterase type IV (PDE4) inhibitor. Exhibits anti-inflammatory activity without emesis.	78890	PDE
P1	C14	sample	78970	78970	381,99357	PNU-37883A	N-(1-Adamantyl)-N'-cyclohexyl-4-morpholinecarboxamidine hydrochloride	K+ Channel		Inhibitor	Kir 6.1/SUR2B	Selective Kir 6.1/SUR2B potassium channel inhibitor.	78970	K+-channel
P1	C15	sample	78891	78891	294,14511	5-(N,N-Dimethyl)amiloride hydrochloride	3-Amino-N-(aminoiminoethyl)-5-(dimethylamino)-6-chloropyrazinecarboxamide hydrochloride; DMA	Ion Pump		Blocker	Na+/H+ Antiporter	Selective blocker of Na+/H+ antiport	78891	Na+/H+ Antiporter
P1	C16	sample	78971	78971	173,17002	trans-(+-)-ACPD	trans-(+-)-1-Amino-1,3-cyclopentanedicarboxylic acid	Glutamate		Agonist	Metabotropic	Metabotropic glutamate receptor agonist	78971	glutamate receptor
P1	C17	sample	78892	78892	197,12889	(+-)-2-Amino-5-phosphonopentanoic acid	(+-)-AP-5; (+-)-AP-V	Glutamate		Antagonist	NMDA	NMDA glutamate receptor antagonist	78892	NMDA
P1	C18	sample	78972	78972	342,25712	SKF-89145 hydrobromide	4-(3,4-Dihydroxyphenyl)-6-methyl-4,5,6,7-tetrahydro_thieno[2,3-c]pyridine hydrobromide	Dopamine		Agonist	D1	D1 dopamine receptor agonist	78972	dopamine receptor
P1	C19	sample	78893	78893	537,69688	Sodium Taurocholate hydrate	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholan-24-oic-acid N-(2-sulfoethyl)amide	Multi-Drug Resistance		Modulator	Conjugate Pathway	Multi-drug resistance conjugate pathway modulator.	78893	Conjugate Pathway
P1	C20	sample	78973	78973	145,11584	trans-Azetidine-2,4-dicarboxylic acid	tADA	Glutamate		Agonist	mGluR1, mGluR5	mGluR1 and mGluR5 metabotropic glutamate receptor agonist	78973	glutamate receptor
P1	C21	sample	78894	78894	454,44894	Methotrexate hydrate	Methylaminopterin; MTX	DNA Metabolism		Inhibitor		Folic acid antagonist	78894	folate
P1	C22	sample	78974	78974	380,49398	SB 222200		Tachykinin		Antagonist	NK3	Non-peptide NK3 tachykinin receptor antagonist.	78974	tachykinin receptor
P1	C23	neg ctr DMSO	neg_ctr_DMSO										neg ctr DMSO	NA
P1	C24	ctrl Wortmannin	ctrl_Wortmannin	80122									ctrl Wortmannin	PI3K
P1	D03	sample	79045	79045	750,71533	(+)-Bromocriptine methanesulfonate		Dopamine		Agonist	D2	D2 dopamine receptor agonist; inhibits prolaction secretion	79045	dopamine receptor
P1	D04	sample	79125	79125	320,0478	1-(2-Chlorophenyl)-1-(4-chlorophenyl)-2,2-dichloroethane	Mitotane	Hormone		Inhibitor	Corticosteroid	Antiadrenal agent; reduces corticosteroid synthesis by adrenal cortex	79125	Corticosteroid
P1	D05	sample	79046	79046	153,60989	Betaine hydrochloride		Biochemistry	Enzyme	Metabolite		Product in choline-betaine osmoregulatory pathway	79046	NA
P1	D06	sample	79126	79126	102,09347	D-Cycloserine	R(+)-4-Amino-3-isoxazolidinone	Glutamate		Agonist	NMDA-Glycine	Excitatory amino acid; partial agonist at the glycine modulatory site of the NMDA glutamate receptor	79126	NMDA
P1	D07	sample	79047	79047	331,35248	SB 202190	4-[4-(4-Fluorphenyl)-5-(4-pyridinyl)-1H-imidazol-2-yl]phenol	Phosphorylation	Enzyme	Inhibitor	p38 MAPK	Highly selective, potent and cell permeable p38 MAP kinase inhibitor.	79047	p38/MPKKK
P1	D08	sample	79127	79127	169,56843	Chlorzoxazone	5-Chloro-2(3H)-benzoxazolone	Nitric Oxide	Enzyme	Inhibitor	iNOS	Inducible nitric oxide synthetase inhibitor; skeletal muscle relaxant	79127	iNOS
P1	D09	sample	79048	79048	430,54613	Budesonide	16,17-Butylidenebis(oxy)-11,21-dihydroxypregna-1,4-diene-3,20-dione	Hormone			Cortisol	Anti-inflammatory glucocorticoid	79048	Cortisol
P1	D10	sample	79128	79128	295,72457	Chlorothiazide		Biochemistry	Enzyme	Inhibitor	Carbonic anhydrase	Carbonic anhydrase inhibitor; diuretic; antihypertensive	79128	Carbonic anhydrase
P1	D11	sample	79049	79049	333,14066	(E)-5-(2-Bromovinyl)-2'-deoxyuridine	BVdU	Immune System		Inhibitor	HSV1	Potent inhibitor of herpes simplex type 1	79049	HSV1
P1	D12	sample	79129	79129	286,35788	SB 204741	N-(1-Methyl-1H-indo-5-yl)-N'-(3-methyl-5-isothiazolyl)urea	Serotonin		Antagonist	5-HT2B	5-HT2B serontonin receptor antagonist.	79129	serotonin receptor
P1	D13	sample	79050	79050	462,30065	(-)-Bicuculline methbromide, 1(S), 9(R)		GABA		Antagonist	GABA-A	GABA-A receptor antagonist	79050	GABA-A
P1	D14	sample	79130	79130	351,36512	GR 79236X	N-[(1S, trans)-2-Hydroxycyclopentyl]adenosine	Adenosine		Agonist	A1	A1 adenosine receptor agonist.	79130	adenosine receptor
P1	D15	sample	79051	79051	254,16134	B-HT 933 dihydrochloride	Azepexole dihydrochloride	Adrenoceptor		Agonist	alpha2	Selective alpha2 adrenoceptor agonist	79051	adrenoceptor
P1	D16	sample	79131	79131	367,81353	Cefaclor		Antibiotic			Cell wall synthesis	Semi-synthetic cephalosporin antibiotic; interferes with cell wall synthesis	79131	Cell wall synthesis
P1	D17	sample	79052	79052	266,7297	6-Chloromelatonin	N-Acetyl-6-chloro-5-methoxytryptamine	Melatonin		Agonist		Melatonin receptor agonist	79052	melatonin
P1	D18	sample	79132	79132	405,31354	Citalopram hydrobromide	1-[3-(Dimethylamino)propyl]-1-(4-fluorophenyl)-1,3-dihydro-5-isobenzofurancarbonitrile hydrobromide	Serotonin		Inhibitor	Reuptake	Selective serotonin reuptake inhibitor	79132	serotonin
P1	D19	sample	79053	79053	290,44975	CGP-13501	3-(3',5'-Di-tert-butyl-4'-hydroxy)phenyl-2,2-dimethylpropanal	GABA		Modulator	GABA-B	Positive allosteric modulator of GABA-B receptors	79053	GABA-B
P1	D20	sample	79133	79133	554,53653	Cefsulodin sodium salt hydrate	Sulcephalosporin	Antibiotic			Cell wall synthesis	Third generation cephalosporin antibiotic; interferes with cell wall synthesis	79133	Cell wall synthesis
P1	D21	sample	79054	79054	184,07743	Choline bromide	Choline-methyl-13C bromide	Cholinergic	Enzyme	Substrate	Choline acetyltransferase	Choline acetyltransferase substrate	79054	Choline acetyltransferase
P1	D22	sample	79134	79134	459,97455	Clemastine fumarate		Histamine		Antagonist	H1	H1 Histamine receptor antagonist	79134	Histamine receptor
P1	E01	ctrl DAPT	ctrl_DAPT										ctrl DAPT	WNT
P1	E02	ctrl Paclitaxel	ctrl_Paclitaxel	80075									ctrl Paclitaxel	Tubulin
P1	E03	sample	78895	78895	373,22756	S(-)-p-Bromotetramisole oxalate	R 30402 oxalate	Phosphorylation	Enzyme	Inhibitor	Alkaline phosphatase	Potent alkaline phosphatase inhibitor	78895	Alkaline phosphatase
P1	E04	sample	78975	78975	202,25818	N-Acetyltryptamine	3-(2-N-Acetylaminoethyl)indole	Melatonin		Agonist - Antagonist		Mixed agonist-antagonist at melatonin receptors	78975	melatonin
P1	E05	sample	78896	78896	432,00486	TMB-8 hydrochloride	8-(Diethylamino)octyl 3,4,5-trimethoxybenzoate hydrochloride	Intracellular Calcium		Antagonist		Intracellular Ca2+ antagonist; inhibits calmodulin-sensitive Ca2+-ATPase activity; protein kinase C inhibitor	78896	Ca2+
P1	E06	sample	78976	78976	136,11383	Allopurinol	1H-Pyrazolo[3,4-d]pyrimidin-4-ol	Cell Stress	Enzyme	Inhibitor	Xanthine oxidase	Xanthine oxidase inhibitor; inhibits the final step in uric acid biosynthesis	78976	Xanthine oxidase
P1	E07	sample	78897	78897	101,10589	L-azetidine-2-carboxylic acid	(S)-Azetidine-2-carboxylic acid	Biochemistry		Inhibitor	Collagen	Inhibits collagen synthesis	78897	Collagen
P1	E08	sample	78977	78977	110,54674	Aminoguanidine hydrochloride	Guanylhydrazine hydrochloride	Nitric Oxide	Enzyme	Inhibitor	NOS	Inhibits inducible and constitutive NOS	78977	NOS
P1	E09	sample	78898	78898	466,47604	S-(p-Azidophenacyl)glutathione		Multi-Drug Resistance	Enzyme	Modulator	Glutathione S-transferase	Glyoxalase and glutathione S-transferase inhibitor	78898	Glutathione S-transferase
P1	E10	sample	78978	78978	311,77656	5-(N,N-hexamethylene)amiloride		Ion Pump		Inhibitor	Na+/H+ Antiporter	Na+/ H+ antiport inhibitor	78978	Na+/H+ Antiporter
P1	E11	sample	78899	78899	195,69116	Acetyl-beta-methylcholine chloride	Methacholine chloride	Cholinergic		Agonist	M1	M1 muscarinic acetylcholine receptor agonist	78899	muscarinic acetylcholine receptor
P1	E12	sample	78979	78979	299,80611	Antozoline hydrochloride	2-(N-Benzylanilinomethyl)-2-imidazoline hydrochloride	Imidazoline		Agonist		Imidazoline agonist; more potent than efaroxan in inducing insulin release from beta cells; H1 histamine receptor antagonist	78979	NA
P1	E13	sample	78900	78900	326,43957	AA-861	2-(12-Hydroxydodeca-5,10-diynyl)-3,5,6-trimethyl-p-benzoquinone	Leukotriene	Enzyme	Inhibitor	5-lipoxygenase	5-lipoxygenase inhibitor	78900	5-lipoxygenase
P1	E14	sample	78980	78980	304,39528	Tracazolate	4-(Butylamino)-1-ethyl-6-methyl-1H-pyrazolo [3,4-b]pyridine-5-carboxylic acid ethyl ester	GABA		Modulator		Non-benzodiazepine anxiolytic which has a high differential between sedative and anxiolytic doses	78980	NA
P1	E15	sample	78901	78901	277,26584	Azathioprine		P2 Receptor	Enzyme	Inhibitor	Purine synthesis	Purine analog; purine synthesis inhibitor; immunosuppressant	78901	Purine synthesis
P1	E16	sample	78981	78981	459,59017	Diacylglycerol kinase inhibitor I	R 59022	Phosphorylation	Enzyme	Inhibitor	Diacylglycerol kinase	Diacylglycerol kinase inhibitor	78981	Diacylglycerol kinase
P1	E17	sample	78902	78902	472,39076	L-732,138	N-Acetyl-L-tryptophan 3,5-bis(trifluoromethyl)benzyl ester	Tachykinin		Antagonist	NK1 > NK2, NK3	Competitive antagonist at substance P receptors; approximately 1000-fold more potent at cloned human NK-1 receptors than at cloned human NK-2 and NK-3 receptors	78902	tachykinin receptor
P1	E18	sample	78982	78982	101,10589	cis-4-Aminocrotonic acid	CACA	GABA		Agonist	GABA-C	GABA-C receptor agonist	78982	GABA-C
P1	E19	sample	78903	78903	214,2247	Amifostine	2-(3-Aminopropyl)aminoethyl phosphorothioate; WR2721	Cell Stress		Inhibitor	Cytoprotectant	Radioprotective agent; selectively protects normal tissues from the damaging effects of anti-neoplastic radiation therapy	78903	Cytoprotectant
P1	E20	sample	78983	78983	213,66841	CBIQ	4-Chlorobenzo[f]isoquinolone	K+ Channel		Activator	CFTR / KCNN4	Activates cystic fibrosis transmembrane conductance regulator (CFTR) and  the intermediate-conductance calcium-sensitive K+ channel.	78983	CFTR / KCNN4
P1	E21	sample	78904	78904	384,31682	Atropine methyl bromide		Cholinergic		Antagonist	Muscarinic	Competitive muscarinic acetylcholine receptor antagonist	78904	acetylcholine receptor
P1	E22	sample	78984	78984	323,35164	1-benzoyl-5-methoxy-2-methylindole-3-acetic acid		Multi-Drug Resistance		Inhibitor	MRP1	Putative inhibitor of multidrug resistance-associated protein 1 (MRP1)	78984	MRP1
P1	E23	ctrl Y27	ctrl_Y27	79207									ctrl Y27	ROCK
P1	E24	ctrl Wortmannin	ctrl_Wortmannin	80122									ctrl Wortmannin	PI3K
P1	F03	sample	79055	79055	241,25437	O6-benzylguanine		DNA Repair	Enzyme	Inhibitor	O6-alkylguanine-DNA alkyltransferase	Irreversible inhibitor of the mammalian DNA repair protein, O6-alkylguanine-DNA alkyltransferase	79055	O6-alkylguanine-DNA alkyltransferase
P1	F04	sample	79135	79135	390,87031	(+-)-Chlorpheniramine maleate		Histamine		Antagonist	H1	H1 Histamine receptor antagonist	79135	Histamine receptor
P1	F05	sample	79056	79056	137,61049	Betaine aldehyde chloride	(Formylmethyl)trimethylammonium chloride	Cholinergic	Enzyme	Metabolite	Choline dehydrogenase	Intermediate in choline-betaine osmoregulatory pathway; product of choline dehydrogenation	79056	Choline dehydrogenase
P1	F06	sample	79136	79136	493,80048	8-(4-Chlorophenylthio)-cAMP sodium		Cyclic Nucleotides	Enzyme	Activator		Membrane-permeable analog of cAMP	79136	CAMP-analog
P1	F07	sample	79057	79057	249,334	Bay 11-7085	(E)-3-(4-t-Butylphenylsulfonyl)-2-propenenitrile	Cell Cycle		Inhibitor	IkB-alpha	Inhibits cytokine induced IkB (Inhibitor of NFkB) phosphorylation	79057	IKB-alpha
P1	F08	sample	79137	79137	153,15754	L-Cysteinesulfinic Acid		Glutamate		Ligand		Putative excitatory amino acid neurotransmitter	79137	NA
P1	F09	sample	79058	79058	430,0887	8-Bromo-cAMP sodium	8-Bromoadenosine-3',5'-cyclophosphate sodium	Cyclic Nucleotides	Enzyme	Activator		Membrane-permeable analog of cAMP	79058	cAMP
P1	F10	sample	79138	79138	390,87031	(+)-Chlorpheniramine maleate	(gammaS)-gamma-(4-Chlorophenyl)-N,N-dimethyl-2-pyridinepropanamine maleate	Histamine		Antagonist	H1	H1 Histamine receptor antagonist; active isomer	79138	Histamine receptor
P1	F11	sample	79059	79059	443,42071	BRL 15572	4-(3-Chlorophenyl)-alpha-(diphenylmethyl)-1-piperazineethanol hydrochloride	Serotonin		Antagonist	5-HT1D	Potent and selective 5-HT1D serotonin receptor antagonist	79059	serotonin receptor
P1	F12	sample	79139	79139	598,54922	Ceftriaxone sodium	Ro-13-9904/001	Antibiotic			Cell wall synthesis	Third generation cephalosporin antibiotic; interferes with cell wall synthesis	79139	Cell wall synthesis
P1	F13	sample	79060	79060	356,30415	(+-)-Bay K 8644	1,4-Dihydro-2,6-dimethyl-5-nitro-4-[2-(trifluoromethyl)-phenyl]-3-pyridine carboxylic acid methyl ester	Ca2+ Channel		Agonist	L-type	L-type Ca2+ channel agonist	79060	Ca2+-channel
P1	F14	sample	79140	79140	493,52047	Cefmetazole sodium	CS-1170; SKF-83088	Antibiotic			Cell wall synthesis	Semi-synthetic antibiotic derived from cephamycin C; interferes with cell wall synthesis	79140	Cell wall synthesis
P1	F15	sample	79061	79061	397,99289	(+-)-Butaclamol hydrochloride	AY 23028	Dopamine		Antagonist	D2>D1	Dopamine receptor antagonist; selective for D2 over D1	79061	dopamine receptor
P1	F16	sample	79141	79141	102,09347	DL-Cycloserine	4-amino-3-isoxazolidinone	Sphingolipid	Enzyme	Inhibitor	Ketosphinganine synthase,  Alanine aminotransferase	Alanine aminotransferase inhibitor; blocks sphingosine biosynthesis by inhibition of ketosphinganine synthetase	79141	Ketosphinganine synthetase
P1	F17	sample	79062	79062	214,05238	Carmustine	BCNU; 1,3-Bis(2-chloroethyl)-1-nitrosourea	DNA		Intercalator		DNA alkylating agent; causes interstrand crosslinks	79062	DNA_intercalation
P1	F18	sample	79142	79142	266,55915	Clonidine hydrochloride		Adrenoceptor		Agonist	alpha2	alpha2 Adrenoceptor agonist; antihypertensive	79142	adrenoceptor
P1	F19	sample	79063	79063	376,5846	CP55940	5-(1,1-dimethylheptyl)-2-[5-hydroxy-2-(3-hydroxypropyl)cyclohexyl]phenol	Cannabinoid		Agonist		Cannabinoid receptor agonist	79063	Cannabinoid receptor
P1	F20	sample	79143	79143	284,31467	Caffeic acid phenethyl ester	CAPE	Cell Cycle		Inhibitor	NFkB	NFkB inhibitor	79143	NFkB
